title,href
#影片素材 037 貓貓 huh! cat saying huh!,JIok3l7c-KM
#BGM素材 008 悲傷BGM#2  Broken Hearts,5YewrSE0c3Q
#音效素材 017 滑鼠點擊音效,4J7zj7k31u4
#BGM素材 007 Wii 背景音樂,2Tnd1cqelDI
#音效素材 016 Among us sus 音效,1MHEOi3Cusw
#影片素材 036 あなたが死んでいる なに！你死了 哪尼!,oWAAR-71F_k
#影片素材 035 Wait a minute ，Who are you?,OImSQ3UAf5s
#音效素材 015 燈泡 滋~滋~滋音效,CMWENTuq1DE
#音效素材 014 刷碟倒帶音效,YHBE_yq1PJk
#音效素材 013 時間倒轉音效,0Oak6N6HOSg
#音效素材 012 罐頭掌聲音效#1,JJ6xrBgRbRc
#影片素材 034 我話講完，誰贊成，誰反對？,AF7YplbR61U
#影片素材 033 我是說在座的各位都是垃圾,GnDSBWvQyR0
#影片素材 032 打我啊笨蛋【九品芝麻官】,pPWLZTDvM0Y
#影片素材 031 無聊!我要看到血流成河!!!,FbtDj_Bz6QI
#影片素材 030 賺爛了賺爛了,LuMVlhYmHu4
#音效素材 011 It was at this moment that he knew he f*cked up,L6wj3t_xkV8
#音效素材 010 minecraft喝水音效,HzIH2eoqc4w
#影片素材 029 鐵達尼號悠揚笛聲版,OoRug5Yz6ec
#綠幕素材 079 群眾歡呼在電影院,HJbYmNRSA5k
#影片素材 028 我習慣講話就是這麼大聲,W7uf_J5dB3E
#BGM素材 006 搞笑、疑惑BGM#1 Scheming Weasel Faster,uz6G4yiqLT0
#綠幕素材 078 We'll Be Right Back,MmQIhRxZsJQ
#音效素材 009 收銀機音效,N7JwbaoBA58
#BGM素材 005   名偵探柯南主題曲 名探偵コナンメイン・テーマ(音樂有版權，但不影響頻道，只是無法營利）,Uj5relamNg0
#影片素材 027 咻!蹦機勒按呢金大聲拉,w56enHR8LFU
#BGM素材 004 電梯音樂 Elevator Music  Local Elevator(minecraft速通常用音樂),wtRLLW-_bU0
#音效素材 008 震驚音效,AEIzbR6sjpI
#BGM素材 003 快樂BGM#01 What Do I Know,LRWOBU3yNHM
#綠幕素材 077 艾爾登法環死亡特效,wLUoR9LJIaY
#綠幕素材 076 Minecraft 訂閱按讚 成就綠幕,n7dGfRcoq6g
#影片素材 026 砸電腦2(原片無刪減),GI7IaCyjKVM
#影片素材 025  我要吃炒飯 夜市人生,Ed4UC7hP7_M
#音效素材 007 小當家美食音效(中華一番),RZ-kC-xlMNc
#影片素材 024 砸電腦1,REMdPbNtXEQ
#BGM素材 002 悲傷BGM#1 St. Francis,pmLIbBzuS_8
#音效素材 006 Bruh,7zrxRUTW7FU
#BGM素材 001 緊張BGM#1 Cataclysmic Molten Core,hQKEf59as28
#音效素材 005 哆啦A夢道具出場音效,uuS0c0okUrw
#綠幕素材 075 Minecraft 死亡畫面綠幕,pUWk9vHqGaY
#影片素材 023 不同意的請舉手  沒有 沒有 沒有【習近平經典語錄#1】,DKgaH9zu7s0
#綠幕素材 074 JOJO綠幕(音樂有版權，但不影響頻道，只是無法營利）,OieDMFStDSU
#綠幕素材 073 Minecraft 苦力怕 爆炸,0j3i_nEp5cQ
#綠幕素材 072 Minecraft 按讚 訂閱動畫,FoNBZBGgLUg
#綠幕素材 071 Minecraft 按讚動畫,8sg8EY1C7ZI
#綠幕素材 070 Minecraft TNT 爆炸,Nb3i83mSDTI
#影片素材 022 狗狗警察抓走熊,05CIGPWUdmo
#音效素材 004 Wow~~~~,aF3zD_biP80
#音效素材 003 號角響起,ltNNxCw7aGE
#音效素材 002 遊戲失敗,-PfvRcCWSw8
#音效素材 001 戰鬥勝利,QYCO-8eg31w
#綠幕素材 069 Vtuber一問一答自我介紹綠幕素材,HrRjOZS1fSs
#影片素材 021 拍額頭,COfPQMzOTmg
#影片素材 020 太無情了史丹利，你真的太無情了,OCEIqArL_Xs
#影片素材 019 海綿寶寶#2 【2000 Years Later】,E2TK2kXdFJA
#綠幕素材 068 訂閱動畫#2,4TVOn2zGvs8
#綠幕素材 067 Londing,lCLmErmotNo
#綠幕素材 066 K.O,1euXVzWs9dk
#綠幕素材 065 訂閱動畫#1,zXHZtpUV0Do
#影片素材 018 海綿寶寶#1 【A Few Moments Later】,VYSRAK53aSU
#影片素材 017 來 下面一位～～,cLrBTG-Ek9Y
#影片素材 016 王世堅精華#3 【沒有最扯，只有更扯】,1YgTyd8m5mA
#影片素材 015 王世堅精華#2 【上帝就要降臨啦】,bEl6hltzLHI
#綠幕素材 064 MG#30-5(黃),qJa-wIeTfG0
#綠幕素材 063 MG#30-4(藍綠),iG5geOxx0JA
#綠幕素材 062 MG#30-3(粉紅),CalttO3ruOM
#綠幕素材 061 MG#30-2(灰),6pnWXN_td40
#綠幕素材 060 MG#30-1(淡藍),fPQNmdYvb8U
#綠幕素材 056 MG#29-2(紅),nyg1A9aXfh8
#綠幕素材 057 MG#29-3(藍),WkQlU0IerxE
#綠幕素材 059 MG#29-5(黑),RNclHuDhcfg
#綠幕素材 058 MG#29-4(紫),PzzvQh6rJJ8
#綠幕素材 055 MG#29-1(黃),Acu2_3yg9y8
#影片素材 014 王世堅精華#1 【就是那麼簡單】,odl8A97yJ1k
#綠幕素材 054 箭頭動畫,mt99pTxi5iU
#綠幕素材 053 海浪🌊轉場,mOfKpk0urqw
#影片素材 013 OMG wow~,5OWoVMtnMxE
#影片素材 012 洗勒哈囉～是在哈囉～,ES4UDTSKoIE
#影片素材 011 我好興奮啊～,BUQaOswVvD4
#綠幕素材 052 打勾動畫,POrp7D0lM_U
#綠幕素材 051 打勾動畫,gnjzBjI_LRA
#綠幕素材 050 打叉動畫,dCfPoo-Jb-A
#綠幕素材 049 電腦當機,MnycJqEHT30
#綠幕素材 048 wow~,WV3L5Ir2LTo
#綠幕素材 047 MG轉場#28,AUv5jut1EaY
#綠幕素材 046 MG轉場#27,WCVusQCPYMY
#綠幕素材 045 MG轉場#26,5DS_4V-46Lk
#影片素材 010 土撥鼠大叫/熊大叫,3mmrkobDJ9Q
#影片素材 009 what what the fu**,_UXRmllXR5U
#影片素材 008 nice,ek-XmEsT63c
#影片素材 007 欸乾 穿山甲欸 可以養嗎？,LhM9928NMdo
#影片素材 006 統神端火鍋（明明是墨西哥粽）,EliHo0O9Sqc
#影片素材 005  黑人歡呼 ohhhhhhhhh~~,l0B8Z3fshmY
#綠幕素材 044 MG轉場#25,G4NAT_SW6us
【素材更新1080高畫質】#綠幕素材 003 荒野亂鬥logo轉場,cJDheoN6bKk
#綠幕素材 043 MG轉場#24,gMp3YPJfpsw
#綠幕素材 042 MG轉場#23,VlIQYC5riD4
#綠幕素材 041 黑色轉圈轉場❺,5ymDCQJTUv8
#綠幕素材 040 黑色轉圈轉場❹,DKJS_qHNL58
#綠幕素材 039 黑色轉圈轉場❸,-WHGAWEGF8c
#綠幕素材 038 黑色轉圈轉場❷,TtQJMpelROA
#綠幕素材 037 黑色轉圈轉場❶,JDXUjj8VOng
#片頭素材 001  〔範例、格式在資訊欄〕,0-xr0aOJyjo
#綠幕素材 036 爆炸💥,UyIQWVOiQYs
#影片素材 004 喔~氣氣氣氣氣～,iE8TirDxem8
#綠幕素材 035 白煙💨轉場（剪映素材）,0a37sjaVnw0
#影片素材 003 甘阿餒～？,TWlJBCDrU_w
#綠幕素材 034 黑煙💨轉場（剪映素材）,Bv7vPwWue3s
#綠幕素材 033 白雲☁️轉場(?（剪映素材）,fvNMIvGFARs
#綠幕素材 032 閃電⚡️轉場(？ （剪映素材）,hrYQNf14jJQ
#綠幕素材 031 火焰🔥轉場（剪映素材）,IBTHXQ2vik0
#綠幕素材 030 MG轉場#22（剪映素材）,GiJA0cytQMA
#綠幕素材 029 MG轉場#21（剪映素材）,9etpnS8FUB4
#綠幕素材 028 MG轉場#20,Mz610uuZNn8
#綠幕素材 027 MG轉場#19,s8bKQqwciMA
#綠幕素材 026 MG轉場#18,QRqX8o2-pLo
#綠幕素材 025 MG轉場#17,snf3veymcec
#綠幕素材 024 MG轉場#16,pdHo-9C79Yo
#綠幕素材 023 MG轉場#15,9Lwki05m5ss
#綠幕素材 022 MG轉場#14,Zh2Fs6HpDW0
#綠幕素材 021 MG轉場#13,TYQN3tfg2yY
#綠幕素材 020 MG轉場#12,Hi9Cn23jYNM
#綠幕素材 019 MG轉場#11,n3fE1wOcXPQ
#綠幕素材 018 MG轉場#10（剪映素材）,Th0SnAX5e0w
#綠幕素材 017 MG轉場#9（剪映素材）,JXrroOmnX4c
#綠幕素材 016 MG轉場#8（剪映素材）,oC0ghd-NpNU
#綠幕素材 015 MG轉場#7（剪映素材）,oSt_MkIphJA
#綠幕素材 014 MG轉場#6（剪映素材）,WaJR6OTIC08
#綠幕素材 013 MG轉場#5（剪映素材）,Imsow_jE5ao
#綠幕素材 012 MG轉場#4（剪映素材）,vmNqjr0Xc7Q
#綠幕素材 011 MG轉場#3 （剪映素材）,_zN-bIXQBZo
#綠幕素材 010 MG轉場#2（剪映素材）,9_s3Xt1jfGk
#綠幕素材 009 MG轉場#1（剪映素材）,aNiIjLxwAUw
#綠幕素材 008Anime Zoom  (動漫縮放）,CHANNSFFpmI
#影片素材 002 核爆,tbMFn0wdG4k
#綠幕素材 007 Oh~oh oh oh oh oh ~~~,RZjhLd2Z_Co
#綠幕素材 006 To be continued(音樂有版權，但不影響頻道，只是無法營利）,qMFU9DZ606k
#綠幕素材 005 數學計算,eZLGwGJIZZI
#綠幕素材 004 What,B1xXkysnDgU
#影片素材 001 逼～～～～～,9V7XygJlAAs
#綠幕素材 003 荒野亂鬥logo轉場,iFqbqKtLoV4
#綠幕素材 002 皇室戰爭轉場,qdfWNZdJ3mg
#綠幕素材 001 荒野亂鬥寶石轉場,hlOI0DHMpEc
